id;context;question;answer
420;La selección de todos los empleados del Grupo en el Reino Unido (aproximadamente dos tercios de todos los empleados del Grupo) cumple este criterio. La mayor parte de los 40.000 empleados del Grupo en el Reino Unido están contratados por British Airways, pero otros proceden del resto de sociedades del Grupo que están domiciliadas en el Reino Unido. Se decidió no incluir en la comparación a los empleados de fuera del Reino Unido ya que las condiciones laborales existentes en otros países son muy distintas.;¿Por qué se decidió no incluir en la comparación a los empleados de fuera del Reino Unido?;las condiciones laborales existentes en otros países son muy distintas
421;• Cualificación y especialización de los empleados. Prosegur es consciente de que el sentido de la responsabilidad debe ser asumido y aplicado en todos los niveles de la Compañía. Por ello, la cualificación y especialización de sus empleados supone uno de los principales aspectos de diferenciación en el sector. En 2015, se han impartido cerca de 2 millones de horas de formación (12 horas por empleado) y se ha contribuido así a crear una cultura común y a difundir unos estándares homogéneos de operación.;¿Qué implica que Prosegur sea consciente de que el sentido de la responsabilidad debe ser asumido y aplicado en todos los niveles de la Compañía?;la cualificación y especialización de sus empleados supone uno de los principales aspectos de diferenciación en el sector
422;Mantenerse en cabeza después de tantos años sólo es posible gracias a un constante proceso de innovación y reinvención, en el que nuestras marcas siguen revolucionando la hotelería urbana con conceptos lifestyle y transformando el segmento de hoteles vacacionales con productos modernos y adaptados a los diversos perfiles de nuestros clientes.;¿Gracias a qué medida es posible mantenerse en cabeza después de tantos años?;a un constante proceso de innovación y reinvención, en el que nuestras marcas siguen revolucionando la hotelería urbana con conceptos lifestyle y transformando el segmento de hoteles vacacionales con productos modernos y adaptados a los diversos perfiles de nuestros clientes
423;En el ejercicio 2017 hemos crecido en ingresos en línea con la guía facilitada al mercado, situándonos en un nuevo máximo histórico, aunque las divisas han estado peor de lo esperado en nuestros presupuestos. También hemos cumplido con las expectativas de crecimiento en resultado operativo y EBITDA, si bien este crecimiento no se ha trasladado al beneficio neto, que desciende frente al año anterior debido a las diferencias de cambio.;¿Qué han supuesto las diferencias de cambio?;este crecimiento no se ha trasladado al beneficio neto, que desciende frente al año anterior
424;"En octubre, Europa FM estrenó además el programa Europlay, con Quique Peinado y Kiko Béjar al mando de un branded content dirigido a gamers y no tan gamers, porque, como dicen los presentadores, ""ahora el raro es el que no juega"".";¿Por qué Europa FM estrenó un programa dirigido a gamers y no tan gamers?;"como dicen los presentadores, ""ahora el raro es el que no juega"""
425;Gracias a este servicio, librerías y puntos de venta pueden solicitar a Logista Libros ejemplares de obras que no existen en stock y que son producidos, incluso una sola unidad.;¿Qué ha permitido que librerías y puntos de venta puedan solicitar a Logista Libros ejemplares de obras que no existen en stock y que son producidos, incluso una sola unidad?;este servicio
426;En línea con lo anterior, la medición de la eficiencia y eficacia de estas iniciativas se ha visto potenciada y ha sido posible gracias a la mejora de los sistemas y control del resultado de las campañas mediante la construcción de modelos econométricos que permiten calcular el retorno de la inversión publicitaria (ROI) y la optimización del mix de medios utilizado.;¿Qué ha supuesto la mejora de los sistemas de control del resultado de las campañas?;la medición de la eficiencia y eficacia de estas iniciativas
427;La eficiencia operativa mejoró un 10 % gracias a las medidas implementadas en todos los países.;¿Gracias a qué ha mejorado la eficiencia operativa?;a las medidas implementadas en todos los países
428;Queremos retener y potenciar este talento y, por ello, en 2017 lanzamos la segunda edición del Young Leaders Programme. Esta iniciativa global de desarrollo de jóvenes en capacidades digitales, contó el pasado año con 86 participantes (ver capítulo ‘Atracción y desarrollo del talento’).;¿Cuál es la causa del lanzamiento en 2017 de la segunda edición del Young Leaders Programme?;Queremos retener y potenciar este talento
429;En Prosegur se cree que ser percibidos como una compañía accesible y transparente por parte de accionistas, inversores y analistas, además de formar parte de su responsabilidad como empresa, tiene un efecto positivo sobre el desempeño económico. Por ello, la Compañía ofrece información actualizada, clara y coherente a través de diferentes canales de comunicación. [G4-26];¿Cuál es la razón de que Prosegur ofrezca información actualizada, clara y coherente a través de diferentes canales de comunicación?;En Prosegur se cree que ser percibidos como una compañía accesible y transparente por parte de accionistas, inversores y analistas, además de formar parte de su responsabilidad como empresa, tiene un efecto positivo sobre el desempeño económico
430;El margen bruto de clientes se elevó hasta el 1,58%. El crecimiento estuvo motivado por un menor coste de los depósitos y un ligero aumento del rendimiento de los créditos.;¿Qué motivó el crecimiento?;un menor coste de los depósitos y un ligero aumento del rendimiento de los créditos
431;La rosácea es una enfermedad cutánea inflamatoria crónica de causas desconocidas. Afecta con mayor frecuencia a mujeres jóvenes de piel clara. Suele presentar enrojecimiento basal o fluctuante, granos inflamatorios o una combinación de ambos, afectando normalmente a la frente, la nariz, el mentón y las mejillas. Suele empeorar durante el verano. También empeora con el estrés, el consumo de alcohol, determinados alimentos (como los picantes) y la exposición al frío o al calor. Hasta el 70 % de los pacientes con rosácea padece problemas psicológicos, como baja autoestima y vergüenza, debido al impacto que tiene la enfermedad en el aspecto de su rostro. Al menos el 20 % presenta síntomas graves de depresión y aumento del estrés y el 15 % muestra síntomas pronunciados de ansiedad.;¿A qué se atribuye que el 70% de los pacientes con rosácea padezca problemas psicológicos, como baja autoestima o vergüenza?;al impacto que tiene la enfermedad en el aspecto de su rostro
432;Las acciones de Inditex están representadas mediante anotaciones en cuenta, sin que la Sociedad lleve un registro de accionistas, por lo que no se conoce en su totalidad la relación de titulares de las acciones.;¿Por qué no no se conoce en su totalidad la relación de titulares de las acciones de Inditex?;están representadas mediante anotaciones en cuenta, sin que la Sociedad lleve un registro de accionistas
433;Además, esta recomendación ha sido incorporada expresamente en los Estatutos Sociales, por lo que se trata de una norma de obligado cumplimiento para la entidad.;¿Qué implicación tiene el hecho de que esta recomendación haya sido incorporada expresamente en los Estatutos Sociales?;se trata de una norma de obligado cumplimiento para la entidad
434;Ligero descenso en la ratio que relaciona los depósitos de clientes más la financiación a medio y largo plazo con los créditos, y por razones similares al caso del LTD dado que el aumento de captación de recursos mayoristas en el Grupo también es inferior al del crédito.;Se observa un ligero descenso en la ratio que relaciona los depósitos de clientes más la financiación a medio y largo plazo con los créditos, ¿por qué factores?;razones similares al caso del LTD dado que el aumento de captación de recursos mayoristas en el Grupo también es inferior al del crédito
435;Pérdidas financieras, suspensión de las operaciones o menoscabo de la reputación de nuestras marcas con motivo de un ataque a nuestros sistemas llevadas a cabo por delincuentes, terroristas o gobiernos extranjeros.;¿Qué propicia pérdidas financieras, suspensión de las operaciones o menoscabo de la reputación de sus marcas?;un ataque a nuestros sistemas llevadas a cabo por delincuentes, terroristas o gobiernos extranjeros
436;Estructura de propiedad del capital social Las acciones de Inditex están representadas mediante anotaciones en cuenta, sin que la Sociedad lleve un registro de accionistas, por lo que no se conoce en su totalidad la relación de titulares de las acciones.;¿Por qué no se conoce en su totalidad la relación de titulares de las acciones?;Las acciones de Inditex están representadas mediante anotaciones en cuenta, sin que la Sociedad lleve un registro de accionistas
437;En gastos de explotación sigue la tendencia de contención y, en consecuencia, el ratio de eficiencia mejora frente al del 2016.;¿Qué efectos tiene que en gastos de explotación siga la tendencia de contención?;el ratio de eficiencia mejora frente al del 2016
438;Como resultado de la integración de todos nuestros canales de venta, en Inditex hemos trabajado en desarrollos tecnológicos que permitan aportar nuevas posibilidades a las necesidades de nuestros clientes.;¿Qué impacto ha tenido la integración de todos nuestros canales de venta?;en Inditex hemos trabajado en desarrollos tecnológicos que permitan aportar nuevas posibilidades a las necesidades de nuestros clientes
439;Esta situación ya se está gestionando y va a ser revertida de forma paulatina en los primeros meses de 2016, por lo que se espera un EBITDA positivo desde principios de año.;¿Por qué se espera un EBITDA positivo desde principios de año?;Esta situación ya se está gestionando y va a ser revertida de forma paulatina en los primeros meses de 2016
440;Así, según la metodología de cálculo de impactos de PWC, por cada euro de PIB creado de manera directa, en 2016 generamos 1,14 euros adicionales de forma indirecta e inducida gracias a los gastos e inversiones que realizamos.;¿Qué efecto han tenido los gastos e inversiones que realizaron?;por cada euro de PIB creado de manera directa, en 2016 generamos 1,14 euros adicionales de forma indirecta e inducida
441;El dato ha disminuido sustancialmente respecto al periodo anterior debido al cese de la actividad de la acería de la factoría de Beasain a principios de 2017 .;¿A qué se debe que el dato haya disminuido sustancialmente respecto al periodo anterior?;al cese de la actividad de la acería de la factoría de Beasain a principios de 2017
442;Cada uno comparte sus experiencias y, en consecuencia, la evolución conjunta es mejor. en 2017, llevamos a la práctica esta estrategia. en españa, relanzamos OPENBank, con su propia estructura tecnológica y un nuevo equipo.;¿Por qué la evolución conjunta es mejor?;Cada uno comparte sus experiencias
443;Al cierre de 2015, y en relación al ejercicio anterior, Grupo Santander presenta: Una ratio estable de créditos sobre activo neto (total activo menos derivados de negociación y saldos interbancarios) del 75%, como consecuencia de la mejora del crédito tras el fin del desapalancamiento en mercados maduros.;¿A qué se debe que el Grupo Santander presente una ratio estable de créditos sobre activo neto al cierre de 2015?;consecuencia de la mejora del crédito tras el fin del desapalancamiento en mercados maduros
444;Si las estrategias de Agua y Biodiversidad tienen su principal campo de acción en las primeras etapas del modelo de negocio (diseño, elección de materias primas y procesos de fabricación), la Estrategia de Energía y Cambio Climático de Inditex tiene como misión promover el uso eficiente y racional de los recursos energéticos, reducir las emisiones de gases de efecto invernadero y colaborar en la lucha contra el cambio climático, por lo que su principal foco de actuación es la logística del Grupo y las tiendas.;¿Qué es lo que explica que el principal foco de actuación sea la logística del Grupo y las tiendas?;la Estrategia de Energía y Cambio Climático de Inditex tiene como misión promover el uso eficiente y racional de los recursos energéticos, reducir las emisiones de gases de efecto invernadero y colaborar en la lucha contra el cambio climático
445;Consumo eficiente de recursos y gestión de residuos Atresmedia es consciente de la importancia que tiene hacer un uso responsable de los recursos para garantizar la sostenibilidad del entorno y por ello se centra en reducir sus consumos lo máximo posible y seleccionar aprovisionamientos responsables.;¿Por qué Atresmedia se centra en reducir sus consumos lo máximo posible y seleccionar aprovisionamientos responsables?;es consciente de la importancia que tiene hacer un uso responsable de los recursos para garantizar la sostenibilidad del entorno y por ello se centra en reducir sus consumos lo máximo posible y seleccionar aprovisionamientos responsables
446;Los gastos de mantenimiento y otros costes de flota aumentaron un 19,2%, excluyendo los efectos cambiarios, como consecuencia del incremento de la actividad de MRO (en torno a 7 puntos). Los costes de mantenimiento aumentaron debido al volumen, con un mayor número de aviones y horas de vuelo, que subieron un 10,7%. También aumentaron por el ajuste en el reconocimiento de provisiones ligadas a la transición emprendida por el Grupo hacia contratos de mantenimiento de pago por consumo.;¿Qué consecuencia se derivó del volumen, con un mayor número de aviones y horas de vuelo, que subieron un 10,7%, y del reconocimiento de provisiones ligadas a la transición emprendida por el Grupo hacia contratos de mantenimiento de pago por consumo?;Los costes de mantenimiento aumentaron
447;Contamos además con un laboratorio de Experiencia de Usuario, gracias al cual Telefónica puede conocer y entender al cliente, así como trabajar en el diseño de nuevos productos y servicios.;¿Qué supone que cuenten con un laboratorio de Experiencia de Usuario?;Telefónica puede conocer y entender al cliente, así como trabajar en el diseño de nuevos productos y servicios
448;La variación de precios de las materias primas no ha tenido impacto en el ejercicio dado que el grupo mantiene exposiciones residuales, tanto directas como en activos subyacentes.;¿Qué ha provocado que la variación de precios de las materias primas no haya tenido impacto en el ejercicio?;el grupo mantiene exposiciones residuales, tanto directas como en activos subyacentes
449;Desde 2013 se ha ido implantando en la compañía un nuevo modelo, basado en itinerarios de aprendizaje, que ha supuesto una evolución importante en el modelo de capacitación, ya que alinea al máximo la actividad formativa con los objetivos de negocio.;¿Por qué razón un nuevo modelo, basado, basado en itinerarios de aprendizaje, ha supuesto una evolución importante en el modelo de capacitación?;alinea al máximo la actividad formativa con los objetivos de negocio
450;Las instituciones financieras están especialmente expuestas a este tipo de manipulaciones y fraudes como consecuencia de su contacto permanente con el público y por las propias características de su negocio, parte del cual descansa sobre el sistema de pagos.;¿Qué hace que las instituciones financieras estén especialmente expuestas a este tipo de manipulaciones y fraudes?;su contacto permanente con el público y por las propias características de su negocio, parte del cual descansa sobre el sistema de pagos
451;Los empleados son nuestros mejores embajadores y, por ello, durante 2015 en Colombia lanzamos la campaña 'En la onda con las antenas' con el objetivo de crear un foro donde compartir argumentos sólidos que nos ayudarán a romper los mitos creados alrededor de la infraestructura de nuestro sector.;¿Por qué durante 2015 en Colombia se lanzó la campaña 'En la onda con las antenas' con el objetivo de crear un foro donde compartir argumentos sólidos que ayudarán a romper los mitos creados alrededor de la infraestructura del sector?;Los empleados son nuestros mejores embajadores
452;La Compañía está convencida del valor de fomentar una relación cercana, accesible y sólida con sus partners, por lo que se esfuerza en optimizar los recursos e implantar herramientas que faciliten una comunicación bilateral, transparente y eficaz.;¿Qué implicaciones tiene el hecho de que la Compañía esté convencida del valor de fomentar una relación cercana, accesible y sólida con sus partners?;se esfuerza en optimizar los recursos e implantar herramientas que faciliten una comunicación bilateral, transparente y eficaz
453;En las cuentas anuales consolidadas adjuntas no se ha registrado provisión alguna por este concepto, ya que no están previstas situaciones de esta naturaleza.;¿Por qué no se ha registrado ninguna provisión por este concepto en las cuentas anuales consolidadas adjuntas?;no están previstas situaciones de esta naturaleza
454;Estos camiones pueden alcanzar las 60 toneladas de masa máxima autorizada, con lo que incrementamos en un 50% la capacidad habitual de estos vehículos.;¿Qué es lo que hizo que se incremente en un 50% la capacidad habitual de estos vehículos?;pueden alcanzar las 60 toneladas de masa máxima autorizada
455;Clece realiza el cálculo de las emisiones directas, indirectas y asociadas a la prestación de sus servicios (alcance I, II y III). Como resultado de este análisis se ha establecido un plan de reducción para las emisiones.;¿Cuál ha sido la causa de que se haya establecido un plan de reducción para las emisiones?;Clece realiza el cálculo de las emisiones directas, indirectas y asociadas a la prestación de sus servicios (alcance I, II y III)
456;Como resultado de aplicar esta metodología, el importe de deterioro por pérdida estimada no difiere significativamente del importe de deterioro por pérdida incurrida establecido en NIC 39 y que se ha empleado para la formulación de estas cuentas anuales consolidadas.;¿Cuál ha sido la consecuencia de emplear esta metodología?;el importe de deterioro por pérdida estimada no difiere significativamente del importe de deterioro por pérdida incurrida establecido en NIC 39 y que se ha empleado para la formulación de estas cuentas anuales consolidadas
457;En la Nota 3.m. de la memoria consolidada se desglosan los pagos de los arrendamientos operativos en vigor. c) Moneda funcional Las presentes cuentas anuales consolidadas se presentan en euros, dado que el euro es la moneda del entorno económico principal en el que opera el Grupo.;¿Qué factor explica que las presentes cuentas anuales consolidadas se presenten en euros?;el euro es la moneda del entorno económico principal en el que opera el Grupo
458;Los impuestos que pagamos son un aspecto clave de nuestra contribución social y económica, ya que ayudan a las comunidades donde operamos a brindar servicios públicos de valor y a construir infraestructuras que facilitan el crecimiento económico. 154 Nuestras prioridades Transparencia fiscal 103-1 En Inditex mantenemos un compromiso irrenunciable de contribución al desarrollo económico y social de los diferentes países en los que estamos presentes.;¿Por qué los impuestos que paga la compañía son un aspecto clave de su contribución social y económica?;ayudan a las comunidades donde operamos a brindar servicios públicos de valor y a construir infraestructuras que facilitan el crecimiento económico
459;En concreto, la renovación de la flota con 30 nuevos vehículos con consumos más bajos y adaptados a la más reciente norma anticontaminación Euro VI, la incorporación de camiones combinados de gran capacidad como los megatrailers o el uso de camiones híbridos, han permitido registrar ahorros de combustible de 448.715 litros de combustible y más de 1200 Tn de CO2 no emitidas a la atmfera. A pesar de las mejoras en este sentido, el consumo global de combustible del transporte primario y secundario ha aumentado en un 2%, debido al aumento de la frecuencia de reparto que exigen los nuevos modelos comerciales.;¿A qué se debe el aumento en un 2% del consumo global de combustible del transporte primario y secundario ha aumentado?;al aumento de la frecuencia de reparto que exigen los nuevos modelos comerciales
460;Introducción al tratamiento del riesgo de liquidez y financiación Santander ha desarrollado un modelo de financiación basado en filiales autónomas que son responsables de cubrir sus propias necesidades de liquidez. Esta estructura posibilita que Santander tome ventaja de su modelo de negocio de banca comercial para mantener posiciones holgadas de liquidez a nivel de Grupo y en sus principales unidades, incluso en situaciones de estrés de mercados. En los últimos años, como consecuencia de cambios económicos y regulatorios derivados de la crisis económica y financiera global, ha sido necesario adaptar las estrategias de financiación a las nuevas tendencias del negocio comercial, a las condiciones de los mercados y a los nuevos requerimientos regulatorios. En 2015, Santander ha seguido mejorando en aspectos concretos sobre una posición de liquidez muy confortable a nivel de Grupo y de filiales, sin cambios materiales en las políticas y prácticas de gestión de liquidez y financiación.;¿Cuál ha sido la consecuencia, en los últimos años, de cambios económicos y regulatorios derivados de la crisis económica y financiera global?;ha sido necesario adaptar las estrategias de financiación a las nuevas tendencias del negocio comercial, a las condiciones de los mercados y a los nuevos requerimientos regulatorios
461;De las 5.759 empresas entrevistadas, Acerinox se encuentra entre las 147 que lo toman ya en cuenta tanto en las operaciones como en la estrategia (37 de ellas españolas) CDP es uno de los estudios más valorados por los inversores ya que en él se valoran las medidas adoptadas y los riesgos detectados en relación al cambio climático y a las emisiones de las empresas.;¿Por qué CDP es uno de los estudios más valorados por los inversores?;en él se valoran las medidas adoptadas y los riesgos detectados en relación al cambio climático y a las emisiones de las empresas
462;Asimismo, se han pagado dividendos por importe de 98,2 millones de euros, aminorando en consecuencia el patrimonio neto por el mismo importe.;¿Por qué se ha aminorado el patrimonio neto por el mismo importe?;se han pagado dividendos por importe de 98,2 millones de euros
463;El momento de la evolución de las personas es un momento clave para los empleados ya que pueden recibir feedback directo por parte de su responsable o directivo, en el marco del modelo de liderazgo de Meliá Hotels International y transmitir inquietudes como la implicación directa en iniciativas de voluntariado corporativo Oformar parte del colectivo de formadores internos de Meliá Hotels International, entre otras.;¿Por qué razón el momento de la evolución de las personas es un momento clave para los empleados?;pueden recibir feedback directo por parte de su responsable o directivo, en el marco del modelo de liderazgo de Meliá Hotels International y transmitir inquietudes como la implicación directa en iniciativas de voluntariado corporativo Oformar parte del colectivo de formadores internos de Meliá Hotels International, entre otras
464;Explicó, asimismo, que el Grupo tiene en el respeto una de las máximas de actuación ya que está integrado por personas de 83 nacionalidades y de todas las culturas y religiones.;¿Qué genera el hecho de que el Grupo esté integrado por personas de 83 nacionalidades y de todas las culturas y religiones?;el Grupo tiene en el respeto una de las máximas de actuación
465;La localización de los proveedores próxima a las factorías del grupo es parte fundamental de la estrategia de compras porque ayuda tanto a la creación de riqueza en estas regiones geográficas, como a la reducción del gasto en costes logísticos y arancelarios y a la disminución del riesgo del tipo de cambio.;¿Por qué motivo la localización de los proveedores próxima a las factorías del grupo resulta parte fundamental de la estrategia de compras?;ayuda tanto a la creación de riqueza en estas regiones geográficas, como a la reducción del gasto en costes logísticos y arancelarios y a la disminución del riesgo del tipo de cambio
466;No obstante, estas extraordinarias noticias no deben dar lugar a la autocomplacencia. Por eso, nos encontramos en el proceso de adaptar nuestro sistema para cumplir con la futura norma ISO 45001 y hemos realizado estudios exhaustivos para identificar riesgos laborales en una amplia variedad de áreas. También estamos ofreciendo formación para la Dirección, diseñando un nuevo conjunto de ejercicios y simulacros y revisando a fondo los escenarios de crisis y los planes de contingencia.;¿Cuál es la consecuencia de evitar la autocomplacencia ante estas extraordinarias noticias?;nos encontramos en el proceso de adaptar nuestro sistema para cumplir con la futura norma ISO 45001 y hemos realizado estudios exhaustivos para identificar riesgos laborales en una amplia variedad de áreas
467;Las fábricas que trabajan para Inditex también lo hacen para otras marcas, con lo que es fundamental la colaboración entre ellas para garantizar que el trabajador es justamente retribuido por su trabajo.;¿Qué implica que las fábricas que trabajan para Inditex también lo hagan para otras marcas?;es fundamental la colaboración entre ellas para garantizar que el trabajador es justamente retribuido por su trabajo
468;Nadie hay más capacitado para impartirlos que aquellos que han desarrollado las correspondientes tareas durante gran parte de su vida profesional por lo que muchos de estos cursos son dirigidos tanto por personal en activo como por empleados jubilados del área en cuestión.;¿Por qué los cursos son impartidos por personal en activo y empleados jubilados?;Nadie hay más capacitado para impartirlos que aquellos que han desarrollado las correspondientes tareas durante gran parte de su vida profesional
469;Dado que el valor neto contable de la participación en Nueva Generadora del Sur, S.A. por importe de 200 millones de euros, se encontraba valorado a su valor razonable y que éste coincide con el valor razonable del negocio adquirido (Genroque, S.L.) la operación no ha generado ningún resultado ni fondo de comercio.;¿Qué factores han contribuido a que la operación no haya generado ningún resultado ni fondo de comercio?;el valor neto contable de la participación en Nueva Generadora del Sur, S.A. por importe de 200 millones de euros, se encontraba valorado a su valor razonable y que éste coincide con el valor razonable del negocio adquirido (Genroque, S.L.)
470;Derivados: debido a la tipología de instrumentos de cobertura contratados, el riesgo de tipo de interés no es relevante.;¿A qué se debe que el riesgo de tipo de interés no sea relevante?;a la tipología de instrumentos de cobertura contratados
471;Simultáneamente, hemos comenzado a trabajar en la cuarta edición, que supondrá una importante ampliación del alcance del programa, ya que también abarcará cuestiones adicionales de sostenibilidad ambiental.;¿Qué consecuencias tiene abarcar cuestiones adicionales de sostenibilidad ambiental?;hemos comenzado a trabajar en la cuarta edición, que supondrá una importante ampliación del alcance del programa
472;Las emisiones totales fueron en 2017 superiores a las del año pasado debido a una mayor producción, aunque los esfuerzos realizados han permitido mantener o reducir las emisiones por tonelada producida de acero en la mayor parte de las fábricas.;¿Qué supusieron los esfuerzos realizados en 2017 en relación con las emisiones totales?;mantener o reducir las emisiones por tonelada producida de acero en la mayor parte de las fábricas
473;Gracias a los programas desarrollados, hemos formado en prácticas de compra responsable y sostenibilidad en los dos últimos años a un total de 1.010 miembros de equipos de compras y de producto.;¿Qué consecuencia han tenido los programas desarrollados?;hemos formado en prácticas de compra responsable y sostenibilidad en los dos últimos años a un total de 1.010 miembros de equipos de compras y de producto
474;"Como sociedad constituida y cotizada en España, IAG se encuentra sujeta a la legislación aplicable en España y al marco de gobierno corporativo español. Dado que cotiza en la Bolsa de Londres, IAG está asimismo sujeta a las Normas de Cotización del Reino Unido, incluido el requisito de explicar si cumple el Código de Gobierno Corporativo del Reino Unido publicado por el Financial Reporting Council (""FRC"") británico, en su redacción vigente en cada momento.";¿Qué consecuencia supone que la empresa cotice en la Bolsa de Londres?;"IAG está asimismo sujeta a las Normas de Cotización del Reino Unido, incluido el requisito de explicar si cumple el Código de Gobierno Corporativo del Reino Unido publicado por el Financial Reporting Council (""FRC"") británico, en su redacción vigente en cada momento"
475;"Nos hemos reunido con muchos de los principales accionistas a lo largo del pasado año y apreciamos sus comentarios constructivos sobre la remuneración en general y nuestra consideración sobre los cambios en nuestra política actual. Al mismo tiempo que revisamos lo que consideramos ""buenas prácticas"" tuvimos en cuenta los comentarios de nuestros accionistas y estamos muy satisfechos con el apoyo a los cambios finales de nuestra Política de Remuneración. Nuestra intención general ha sido asegurar que tuviéramos una fuerte alineación con nuestra estrategia porque consideramos que es la mejor forma de crear un valor accionarial sostenible a largo plazo.";¿Qué impulsa la intención de tener una fuerte alineación con la estrategia?;consideramos que es la mejor forma de crear un valor accionarial sostenible a largo plazo
476;Durante el presente ejercicio, se volvió a tomar el pulso entre más de 150 personas de la Sede con motivo de la nueva organización interna por enseñas y del área comercial en desarrollo y compras. El objetivo ha sido conocer, a través de estas encuestas puntuales realizadas mediante una aplicación móvil, la opinión de los empleados respecto a los temas de organización y estructura.;¿Por qué se preguntó a más de 150 personas de la Sede?;con motivo de la nueva organización interna por enseñas y del área comercial en desarrollo y compras. El objetivo ha sido conocer, a través de estas encuestas puntuales realizadas mediante una aplicación móvil, la opinión de los empleados respecto a los temas de organización y estructura
477;El beneficio de la región refleja el discreto resultado de México debido al elevado ratio combinado de autos y al impacto de los eventos catastróficos en el negocio de GLOBAL RISKS.;¿A qué se debe el discreto resultado de México?;al elevado ratio combinado de autos y al impacto de los eventos catastróficos en el negocio de GLOBAL RISKS
478;Inditex está firme y activamente comprometido con estos planes como aspecto fundamental del programa de inspección y remediación del Accord, dado que garantizan el cumplimiento de los estándares de salud y seguridad de esta organización y su implantación se verifica oficialmente por sus equipos de ingenieros en inspecciones de seguimiento.;¿Qué motivo hay para que Inditex esté comprometido con tales planes del programa de inspección y remediación del Accord?;garantizan el cumplimiento de los estándares de salud y seguridad de esta organización y su implantación se verifica oficialmente por sus equipos de ingenieros en inspecciones de seguimiento
479;De este modo, también se reduce la huella de carbono del servicio ya que se evitan los desplazamientos con grúa a los puntos de recarga.;¿Por qué se reduce la huella de carbono del servicio?;se evitan los desplazamientos con grúa a los puntos de recarga
480;La audiencia ha respaldado así, de forma mayoritaria, la labor de los presentadores y del equipo de profesionales de Mediaset España a lo largo de un año en el que han tenido lugar acontecimientos clave para el sistema político y social español, como la abdicación del Rey Juan Carlos I y la posterior proclamación de Felipe VI, los relevos generacionales de Pedro Sánchez y Alberto Garzón al frente de PSOE e IU, la irrupción de Pablo Iglesias y el fenómeno Podemos, los fallecimientos del exPresidente del Gobierno Adolfo Suárez y de la Duquesa de Alba, las novedades judiciales en las presuntas tramas de corrupción en torno a figuras como Iñaki Urdangarín y Jordi Pujol la celebración de la consulta independentista en Cataluña y la crisis sanitaria a causa del ébola. Un año sacudido también por noticias en el ámbito internacional como la recuperación de las relaciones entre Estados Unidos y Cuba, el conflicto entre Ucrania y Rusia y la barbarie terrorista de los miembros del llamado Estado Islámico, y en el deportivo por el cambio de ciclo iniciado en la Selección Española tras el Mundial de Brasil, el histórico triplete español con Marc Márquez,Tito Rabat y Álex Márquez en el Mundial de Motociclismo o la consecución de la décima Copa de Europa por el Real Madrid.;¿Qué efectos tuvo el ébola?;la crisis sanitaria
481;Problemas de suministro debido a incidencias con los proveedores;¿A qué se atribuyen los problemas de suministro?;a incidencias con los proveedores
482;Gracias a la experiencia y la gran capacidad técnica y profesional del Grupo, Atresmedia Formación ha desarrollado una oferta formativa muy completa y especializada, ad hoc a la realidad laboral de las empresas de comunicación audiovisual.;¿Qué se ha conseguido con la experiencia y capacidad técnica y profesional de Atresmedia?;Atresmedia Formación ha desarrollado una oferta formativa muy completa y especializada, ad hoc a la realidad laboral de las empresas de comunicación audiovisual
483;Hemos disminuido en un 87% la cantidad de lodos gracias a la construcción de instalaciones de tratamiento en varias de nuestras plantas.;¿Gracias a qué se ha conseguido disminuir un 87% la cantidad de lodos?;a la construcción de instalaciones de tratamiento en varias de nuestras plantas
484;Debido a la publicación de la nueva norma ISO 14001:2015, hemos impartido una formación específica, dirigida a todas las personas que de alguna forma estuviesen implicadas en el Sistema de Gestión Ambiental.;¿A qué se debe la impartición de una formación específica, dirigida a todas las personas que de alguna forma estuviesen implicadas en el Sistema de Gestión Ambiental?;a la publicación de la nueva norma ISO 14001:2015
485;Gracias a un criterio de colores permite identificar qué métricas no cumplen con el objetivo y priorizar la actividad para analizar el cambio de tendencia (si es negativa), implantar acciones y hacer el seguimiento para mejorar (a través de un plan de acción).;¿El criterio de colores qué facilita?;permite identificar qué métricas no cumplen con el objetivo y priorizar la actividad para analizar el cambio de tendencia (si es negativa), implantar acciones y hacer el seguimiento para mejorar (a través de un plan de acción)
486;Como resultado del proceso antedicho se elabora una vez al año, por requerimiento del supervisor, un documento de evaluación que se entrega al supervisor y cuya conclusión, suscrita por el Consejo de Administración, es que el Grupo presenta en todas las circunstancias una estructura de liquidez y financiación sólida y unos procesos internos apropiados para asegurar la adecuación de la liquidez.;¿Qué se ha producido como resultado de proceso antedicho?;se elabora una vez al año, por requerimiento del supervisor, un documento de evaluación que se entrega al supervisor y cuya conclusión, suscrita por el Consejo de Administración, es que el Grupo presenta en todas las circunstancias una estructura de liquidez y financiación sólida y unos procesos internos apropiados para asegurar la adecuación de la liquidez
487;Neox se mantiene como temática líder para este tipo de público en las tardes de lunes a viernes gracias a su oferta de sitcoms estadounidenses y, en prime time, con su combinación de cine y series.;¿A qué se atribuye que Neox se mantenga como temática líder para tal público vespertino de lunes a viernes?;a su oferta de sitcoms estadounidenses
488;El aumento en el año se ha debido a la ampliación de capital que se realizó en enero, por importe de 7.500 millones de euros, y al beneficio del ejercicio, efecto que se ha minorado en parte por la negativa evolución de los ajustes al patrimonio por valoración.;¿A qué se ha debido el aumento en el año?;a la ampliación de capital que se realizó en enero, por importe de 7.500 millones de euros, y al beneficio del ejercicio
